id,canonicalName,displayName,slug,aliases,identityStatus,lifecycleStatus,publicationStatus,officialDomain,officialWebsite,country,headquarters,foundedYear,parentCompany,shortDescriptionEn,categories,families,series,industries,logoAssetPath,sourceRecordIds,checkedAt,contentStatus,seoStatus,seoTitleCore,seoMetaFactual,reviewBlockerCode,reviewBlockerCategory,completenessScore
bosch-rexroth,Bosch Rexroth,Bosch Rexroth,bosch-rexroth,Rexroth,CONFIRMED,CURRENT,BRAND_SAFE,boschrexroth.com,https://www.boschrexroth.com/,Germany,,,Bosch Group,"The source-backed Bosch Rexroth portfolio covers hydraulic equipment, drive and motion-control systems, and linear-motion components. Its documented corporate parent is Bosch Group.",hydraulic equipment | drive and motion-control systems | linear-motion components,4WEH | 4WRE / 4WREE | A10VSO | A6VM | HM20 | WE6 | WE10,,factory automation | industrial manufacturing,brand-assets/logos/bosch-rexroth.svg,brand-bosch-rexroth-company | brand-bosch-rexroth-products,2026-08-12,EN_CONTENT_READY,SEO_CORE_READY,Bosch Rexroth Hydraulic equipment,"Bosch Rexroth manufacturer profile covering hydraulic equipment, drive and motion-control systems, and linear-motion components, based on official company and product sources.",,,95
ifm-electronic,ifm electronic,ifm electronic,ifm-electronic,IFM,CONFIRMED,CURRENT,BRAND_SAFE,ifm.com,https://www.ifm.com/,Germany,,1969,,"Official ifm electronic material documents a product scope covering industrial sensors, drive and motion-control systems, and industrial safety equipment. The confirmed country record is Germany.",industrial sensors | drive and motion-control systems | industrial safety equipment,,,factory automation,brand-assets/logos/ifm-electronic.svg,brand-ifm-company | brand-ifm-products,2026-08-12,EN_CONTENT_READY,SEO_CORE_READY,ifm electronic Industrial sensors,"ifm electronic manufacturer profile covering industrial sensors, drive and motion-control systems, and industrial safety equipment, based on official company and product sources.",,,80
marathon-electric,Marathon Electric,Marathon Electric,marathon-electric,Marathon,CONFIRMED,CURRENT,BRAND_SAFE,marathonelectric.com,https://www.marathonelectric.com/,,,,,Manufacturer-owned sources identify Marathon Electric with electric motors and control and regulation equipment.,electric motors | control and regulation equipment,,,industrial processing | energy,,brand-marathon-products | brand-marathon-documentation,2026-08-12,EN_CONTENT_READY,SEO_CORE_READY,Marathon Electric Electric motors,"Marathon Electric manufacturer profile covering electric motors and control and regulation equipment, based on official company and product sources.",,,70
marelli-motori,Marelli Motori,Marelli Motori,marelli-motori,,CONFIRMED,CURRENT,BRAND_SAFE,marellimotori.com,https://www.marellimotori.com/,Italy,"Arzignano, Italy",,Langley Holdings,"Marelli Motori publishes official information for electric motors and drive and motion-control systems. The published range names MXB-E, MJB / MJH, MJR / MJHR, and MJV / MJHV.",electric motors | drive and motion-control systems,MXB-E | MJB / MJH | MJR / MJHR | MJV / MJHV,,industrial processing | energy | marine applications | oil and gas,brand-assets/logos/marelli-motori.png,brand-marelli-company | brand-marelli-generators,2026-08-12,EN_CONTENT_READY,SEO_CORE_READY,Marelli Motori Electric motors,"Marelli Motori manufacturer profile covering electric motors and drive and motion-control systems, based on official company and product sources.",,,100
elco-motors,ELCO,ELCO,elco-motors,,REVIEW_REQUIRED,UNKNOWN,BRAND_REVIEW,,,,,,,,,,,,,,2026-08-12,NOT_READY,NOT_READY,,,AMBIGUOUS_IDENTITY,AMBIGUOUS_IDENTITY,0
micro-detectors,MICRO DETECTORS,MICRO DETECTORS,micro-detectors,,REVIEW_REQUIRED,UNKNOWN,BRAND_REVIEW,,,,,,,,,,,,,,2026-08-12,NOT_READY,NOT_READY,,,BLOCKED_EXTERNAL_SOURCE,SOURCE_ACCESS_BLOCKED,0
herz,HERZ,HERZ,herz,,CONFIRMED,CURRENT,BRAND_SAFE,herz.eu,https://www.herz.eu/,Austria,,,,HERZ is documented in official material for industrial valves and flow control and pumps and pumping systems. Official product material names Pumpfix and Pipefix.,industrial valves and flow control | pumps and pumping systems,Pumpfix | Pipefix,,building systems,,brand-herz-company | brand-herz-products,2026-08-12,EN_CONTENT_READY,SEO_CORE_READY,HERZ Industrial valves and flow control,"HERZ manufacturer profile covering industrial valves and flow control and pumps and pumping systems, based on official company and product sources.",,,85
mp-pumps,MP Pumps,MP Pumps,mp-pumps,,CONFIRMED,CURRENT,BRAND_SAFE,mppumps.com,https://www.mppumps.com/,United States,,1942,,"MP Pumps is documented in official material for pumps and pumping systems. Official product material names TEMPUFLO, PETROLMAXX, CHEMFLO / CFX, FLOMAX / FMX, 2CT, HHLF, and HYDRASUB.",pumps and pumping systems,TEMPUFLO | PETROLMAXX | CHEMFLO / CFX | FLOMAX / FMX | 2CT | HHLF | HYDRASUB,,industrial processing | transportation | agriculture | marine applications | oil and gas,,brand-mp-pumps-company | brand-mp-pumps-products,2026-08-12,EN_CONTENT_READY,SEO_CORE_READY,MP Pumps Pumps and pumping systems,"MP Pumps manufacturer profile covering pumps and pumping systems, based on official company and product sources.",,,80
vivoil-oleodinamica-vivolo-s-r-l,Vivoil Oleodinamica Vivolo,Vivoil,vivoil-oleodinamica-vivolo-s-r-l,Vivolo | Vivoil Oleodinamica Vivolo,CONFIRMED,CURRENT,BRAND_SAFE,vivoil.com,https://www.vivoil.com/,Italy,"Budrio, Bologna, Italy",1985,,"Vivoil Oleodinamica Vivolo is documented in official material for pumps and pumping systems and hydraulic equipment. Official product material names Unidirectional pumps, Reversible pumps, Unidirectional motors, Reversible motors, Flow dividers, XV-0U, XV-1U, XV-2U, XV-3U, and XV-0M.",pumps and pumping systems | hydraulic equipment,Unidirectional pumps | Reversible pumps | Unidirectional motors | Reversible motors | Flow dividers,XV-0U | XV-1U | XV-2U | XV-3U | XV-0M | XV-1M | XV-2M | XV-3M,industrial processing | agriculture,brand-assets/logos/vivoil-oleodinamica-vivolo-s-r-l.png,brand-vivoil-company | brand-vivoil-products | brand-vivoil-catalogs,2026-08-12,EN_CONTENT_READY,SEO_CORE_READY,Vivoil Pumps and pumping systems,"Vivoil manufacturer profile covering pumps and pumping systems and hydraulic equipment, based on official company and product sources.",,,100
cantoni-group,Cantoni Group,Cantoni Group,cantoni-group,Cantoni Motor | BESEL,CONFIRMED,CURRENT,BRAND_SAFE,cantonigroup.com,https://www.cantonigroup.com/,Poland,"Cieszyn, Poland",,,"First-party sources establish Cantoni Group in electric motors, brakes and couplings, and industrial tools. The confirmed country record is Poland.",electric motors | brakes and couplings | industrial tools,BESEL | CELMA INDUKTA | Cantoni Motor,,industrial processing | transportation | energy | marine applications,,brand-cantoni-company | brand-cantoni-products,2026-08-12,EN_CONTENT_READY,SEO_CORE_READY,Cantoni Group Electric motors,"Cantoni Group manufacturer profile covering electric motors, brakes and couplings, and industrial tools, based on official company and product sources.",,,85
